"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","11/96","158/9397",5.52180842855909e-07,0.000113749253628317,0.000107529953608782,"10459/1870/4998/4175/995/10926/894/9088/9212/10403/8318",11
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","5/96","55/9397",0.000232776132967437,0.0202839717555025,0.0191749349758199,"7398/80010/5888/641/672",5
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","4/96","32/9397",0.000295397646924793,0.0202839717555025,0.0191749349758199,"10018/666/332/5366",4
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","7/96","144/9397",0.00065569772441411,0.0319496725244522,0.0302028074451898,"714/713/942/8352/8355/8969/958",7
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","4/96","41/9397",0.000775477488457577,0.0319496725244522,0.0302028074451898,"580/5888/641/672",4
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","6/96","137/9397",0.00272652141735941,0.093610568662673,0.0884923617914896,"10018/7277/835/332/5366/1522",6
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","4/96","87/9397",0.0119372138100184,0.326073398229781,0.308245164397084,"10018/332/1630/5366",4
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","3/96","50/9397",0.0143197226668572,0.326073398229781,0.308245164397084,"7852/942/958",3
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","8/96","318/9397",0.0158418054315218,0.326073398229781,0.308245164397084,"1870/5743/10018/995/894/672/1786/1789",8
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","6/96","201/9397",0.0167801395023911,0.326073398229781,0.308245164397084,"942/8352/8355/51513/894/958",6
"Metabolism","Glycan biosynthesis and metabolism","hsa00541","Biosynthesis of various nucleotide sugars","2/96","20/9397",0.0174116863132407,0.326073398229781,0.308245164397084,"6675/80896",2
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","3/96","58/9397",0.0212667750479843,0.365079638323731,0.345118717883956,"6241/284958/7083",3
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","4/96","111/9397",0.0267235771795439,0.392960330720675,0.371475018821282,"10459/995/5241/9088",4
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","3/96","64/9397",0.0274915727980835,0.392960330720675,0.371475018821282,"7852/5045/164668",3
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","3/96","65/9397",0.0286136163146122,0.392960330720675,0.371475018821282,"8613/1608/3990",3
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","3/96","70/9397",0.0345840388030037,0.423830990983506,0.400657809565399,"942/958/3689",3
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","2/96","30/9397",0.0373267100196202,0.423830990983506,0.400657809565399,"9429/6470",2
NA,NA,"hsa04981","Folate transport and metabolism","2/96","31/9397",0.0396406214644624,0.423830990983506,0.400657809565399,"9429/6470",2
"Human Diseases","Drug resistance: antineoplastic","hsa01524","Platinum drug resistance","3/96","75/9397",0.0411486399013113,0.423830990983506,0.400657809565399,"672/332/5366",3
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","3/96","75/9397",0.0411486399013113,0.423830990983506,0.400657809565399,"6241/894/5366",3
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","3/96","78/9397",0.045367989099731,0.445038369264028,0.420705663330839,"714/713/3689",3
"Cellular Processes","Cell motility","hsa04814","Motor proteins","5/96","197/9397",0.0509476242665586,0.461072478046218,0.435863098817324,"7277/22989/3833/9585/4635",5
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","2/96","36/9397",0.0519814387714558,0.461072478046218,0.435863098817324,"4175/10535",2
