"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0006261","DNA-templated DNA replication","13/184","161/18870",6.39292393447046e-09,1.64873508269993e-05,1.50603829108893e-05,"4175/10293/51053/10926/6240/79733/1017/5888/51659/91607/7083/10189/898",13
"BP","GO:0006260","DNA replication","15/184","278/18870",9.8894321343405e-08,0.000127524227372321,0.000116487100613969,"6241/4175/10293/51053/10926/6240/79733/1017/5888/51659/91607/7083/10189/10535/898",15
"BP","GO:0007059","chromosome segregation","18/184","424/18870",1.88917178785019e-07,0.000162405801362188,0.000148349700393289,"4751/1063/699/151246/56852/84057/9232/4288/113130/9918/29127/9787/11339/3835/332/93323/898/22974",18
"BP","GO:0090068","positive regulation of cell cycle process","14/184","262/18870",3.01823327317881e-07,0.000173722855131694,0.00015868727160047,"6241/699/56852/995/10926/6240/79733/113130/9918/29127/3479/11113/9787/332",14
"BP","GO:0000280","nuclear division","18/184","441/18870",3.36802743566681e-07,0.000173722855131694,0.00015868727160047,"8438/4751/1063/699/84057/995/9232/4288/113130/9918/29127/3479/9787/5888/3835/332/898/22974",18
"BP","GO:0048285","organelle fission","18/184","488/18870",1.4497202212365e-06,0.000623138075094823,0.000569205939496016,"8438/4751/1063/699/84057/995/9232/4288/113130/9918/29127/3479/9787/5888/3835/332/898/22974",18
"BP","GO:0140014","mitotic nuclear division","13/184","274/18870",3.04255637348014e-06,0.00112096469817218,0.00102394603967647,"4751/1063/699/995/4288/113130/9918/29127/3479/9787/3835/332/22974",13
"BP","GO:0044786","cell cycle DNA replication","6/184","44/18870",4.11056146544629e-06,0.00132514225242325,0.00121045217890379,"4175/51053/10926/79733/5888/7083",6
"BP","GO:0045787","positive regulation of cell cycle","14/184","334/18870",5.30788483698939e-06,0.00152100388828841,0.00138936213627863,"6241/699/56852/995/10926/6240/79733/113130/9918/29127/3479/11113/9787/332",14
"BP","GO:0090329","regulation of DNA-templated DNA replication","6/184","47/18870",6.10286722484855e-06,0.00157392945728844,0.00143770703675906,"4175/51053/10926/79733/1017/91607",6
"BP","GO:0009263","deoxyribonucleotide biosynthetic process","4/184","15/18870",1.09811962074381e-05,0.00217850038607561,0.00198995280261106,"26289/6241/6240/6470",4
"BP","GO:0009265","2'-deoxyribonucleotide biosynthetic process","4/184","15/18870",1.09811962074381e-05,0.00217850038607561,0.00198995280261106,"26289/6241/6240/6470",4
"BP","GO:0046385","deoxyribose phosphate biosynthetic process","4/184","15/18870",1.09811962074381e-05,0.00217850038607561,0.00198995280261106,"26289/6241/6240/6470",4
"BP","GO:0098813","nuclear chromosome segregation","13/184","312/18870",1.23744141371327e-05,0.00227954386140466,0.00208225104051903,"4751/1063/699/84057/9232/113130/9918/29127/9787/3835/332/898/22974",13
"BP","GO:0000070","mitotic sister chromatid segregation","10/184","184/18870",1.34525652335624e-05,0.0023129443824905,0.00211276077141844,"4751/1063/699/113130/9918/29127/9787/3835/332/22974",10
"BP","GO:0044772","mitotic cell cycle phase transition","16/184","470/18870",1.55000798916106e-05,0.00249841912752898,0.00228218281562003,"1870/63967/2672/1063/6241/699/995/10926/9833/6240/113130/1017/9787/91607/332/898",16
"BP","GO:0007088","regulation of mitotic nuclear division","8/184","118/18870",2.05930896914361e-05,0.00312409284201257,0.00285370493680706,"4751/1063/699/995/4288/3479/9787/332",8
"BP","GO:0033260","nuclear DNA replication","5/184","40/18870",4.16495983589103e-05,0.00596746189820164,0.00545098252206089,"4175/51053/10926/5888/7083",5
"BP","GO:0000819","sister chromatid segregation","10/184","225/18870",7.47150649526452e-05,0.0101415869743617,0.0092638401863723,"4751/1063/699/113130/9918/29127/9787/3835/332/22974",10
"BP","GO:0051783","regulation of nuclear division","8/184","146/18870",9.41048663697598e-05,0.0121348225183805,0.011084562680817,"4751/1063/699/995/4288/3479/9787/332",8
"BP","GO:0050670","regulation of lymphocyte proliferation","10/184","238/18870",0.000118860490106064,0.0144238192102074,0.0131754484163361,"3604/26191/6664/3593/3135/56253/3479/1880/970/5880",10
"BP","GO:0051321","meiotic cell cycle","11/184","287/18870",0.000123041497721816,0.0144238192102074,0.0131754484163361,"8438/4751/151246/84057/995/9232/9918/1017/5888/898/284338",11
"BP","GO:0032944","regulation of mononuclear cell proliferation","10/184","242/18870",0.000136238775117999,0.0152765130882313,0.013954342275244,"3604/26191/6664/3593/3135/56253/3479/1880/970/5880",10
"BP","GO:0050000","chromosome localization","7/184","116/18870",0.000142549891452366,0.0153181737523188,0.0139923972399296,"4751/1063/113130/29127/9787/3835/332",7
"BP","GO:1901987","regulation of cell cycle phase transition","14/184","456/18870",0.000159328693351986,0.0164363480061909,0.0150137943461788,"63967/1063/6241/699/6657/995/10926/6240/113130/1017/9787/5888/91607/332",14
"BP","GO:2000105","positive regulation of DNA-templated DNA replication","3/184","13/18870",0.000242751297064369,0.0240790613511157,0.0219950365518242,"10926/79733/1017",3
"BP","GO:0070663","regulation of leukocyte proliferation","10/184","267/18870",0.000300858965851051,0.0278092256807528,0.0254023579410725,"3604/26191/6664/3593/3135/56253/3479/1880/970/5880",10
"BP","GO:0051983","regulation of chromosome segregation","7/184","131/18870",0.00030192257427727,0.0278092256807528,0.0254023579410725,"1063/699/56852/4288/9918/9787/332",7
"BP","GO:0010948","negative regulation of cell cycle process","11/184","320/18870",0.000315209756298509,0.0280319297066846,0.0256057870996756,"63967/4751/1063/699/6657/3135/79733/1017/5888/91607/332",11
"BP","GO:0051310","metaphase chromosome alignment","6/184","96/18870",0.000355159891469154,0.0305319120032983,0.027889397793262,"4751/1063/113130/29127/3835/332",6
"BP","GO:0030174","regulation of DNA-templated DNA replication initiation","3/184","15/18870",0.000380683591177742,0.0316704187628193,0.0289293676419622,"4175/51053/1017",3
"BP","GO:0042129","regulation of T cell proliferation","8/184","182/18870",0.000424209934966319,0.0341886694461918,0.0312296656070599,"3604/26191/3593/3135/56253/3479/970/5880",8
"BP","GO:0006270","DNA replication initiation","4/184","37/18870",0.000449362984304273,0.0342771597485937,0.0313104971397941,"4175/51053/1017/898",4
"BP","GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","3/184","16/18870",0.000465180531679247,0.0342771597485937,0.0313104971397941,"3135/4277/80328",3
"BP","GO:1902969","mitotic DNA replication","3/184","16/18870",0.000465180531679247,0.0342771597485937,0.0313104971397941,"4175/5888/7083",3
"BP","GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib","3/184","17/18870",0.000560821403338742,0.0382329939846438,0.0349239568733833,"3135/4277/80328",3
"BP","GO:0002484","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","3/184","17/18870",0.000560821403338742,0.0382329939846438,0.0349239568733833,"3135/4277/80328",3
"BP","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","5/184","69/18870",0.000566311335013388,0.0382329939846438,0.0349239568733833,"3593/3135/4277/80328/56253",5
"BP","GO:0001916","positive regulation of T cell mediated cytotoxicity","4/184","40/18870",0.000607814173466613,0.0382329939846438,0.0349239568733833,"3593/3135/4277/80328",4
