"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0001819","positive regulation of cytokine production","17/144","499/18870",2.7055640331831e-07,0.000687213264428507,0.000594084902444205,"26191/965/8832/338382/3553/3148/2324/4602/3082/3620/923/81622/834/1813/3594/54440/3654",17
"BP","GO:0042102","positive regulation of T cell proliferation","8/144","105/18870",1.41367239929164e-06,0.00179536394710039,0.00155206348680125,"26191/3553/80380/923/10673/11151/3594/54440",8
"BP","GO:0042129","regulation of T cell proliferation","9/144","182/18870",1.10237716771142e-05,0.0073228711782009,0.0063305052953697,"26191/3553/3620/80380/923/10673/11151/3594/54440",9
"BP","GO:0034162","toll-like receptor 9 signaling pathway","4/144","19/18870",1.1532080595592e-05,0.0073228711782009,0.0063305052953697,"26191/338382/81622/3654",4
"BP","GO:0050671","positive regulation of lymphocyte proliferation","8/144","145/18870",1.56284435775246e-05,0.00767675319949202,0.00663643065650243,"26191/3553/80380/923/10673/11151/3594/54440",8
"BP","GO:0032946","positive regulation of mononuclear cell proliferation","8/144","148/18870",1.81340626759654e-05,0.00767675319949202,0.00663643065650243,"26191/3553/80380/923/10673/11151/3594/54440",8
"BP","GO:0042098","T cell proliferation","9/144","213/18870",3.83162313530036e-05,0.0123916924574966,0.0107124204170485,"26191/3553/3620/80380/923/10673/11151/3594/54440",9
"BP","GO:0070665","positive regulation of leukocyte proliferation","8/144","166/18870",4.13535603438985e-05,0.0123916924574966,0.0107124204170485,"26191/3553/80380/923/10673/11151/3594/54440",8
"BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","10/144","275/18870",5.07152723791037e-05,0.0123916924574966,0.0107124204170485,"26191/3142/3553/80380/923/10673/11151/3594/54440/3654",10
"BP","GO:0051607","defense response to virus","11/144","334/18870",5.22398272271127e-05,0.0123916924574966,0.0107124204170485,"10964/26191/338382/3553/81622/834/3687/91607/3594/200315/164668",11
