"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","5/69","105/9397",0.00100895609890051,0.178585229505391,0.157184739618185,"3553/7185/10673/597/3654",5
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","3/69","36/9397",0.00227466027200217,0.201307434072192,0.1771840632928,"6119/2237/5983",3
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","5/69","157/9397",0.00581147883005567,0.229254742347479,0.20178234830465,"338382/338440/5029/5031/834",5
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","5/69","159/9397",0.00612705850659303,0.229254742347479,0.20178234830465,"338382/8685/7277/4481/11151",5
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","3/69","52/9397",0.00647612266518303,0.229254742347479,0.20178234830465,"477/3099/3101",3
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","4/69","117/9397",0.0105999139828181,0.271371136515824,0.238851788310092,"3099/3101/29968/10993",4
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","2/69","23/9397",0.0121705548486519,0.271371136515824,0.238851788310092,"6119/5983",2
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","5/69","203/9397",0.0164732295781964,0.271371136515824,0.238851788310092,"3553/7277/9076/834/3654",5
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","7/69","370/9397",0.0183914478698134,0.271371136515824,0.238851788310092,"10911/432355/6865/5029/5031/1813/79924",7
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","3/69","78/9397",0.0194788375302229,0.271371136515824,0.238851788310092,"3553/834/3654",3
"Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","2/69","32/9397",0.0228712690581529,0.271371136515824,0.238851788310092,"3099/3101",2
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","2/69","34/9397",0.0256270726457953,0.271371136515824,0.238851788310092,"3099/3101",2
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","2/69","36/9397",0.028510755967764,0.271371136515824,0.238851788310092,"79695/374378",2
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","4/69","158/9397",0.028605395653082,0.271371136515824,0.238851788310092,"1031/1029/81620/898",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","4/69","160/9397",0.0297725633275033,0.271371136515824,0.238851788310092,"965/9076/80380/923",4
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","2/69","37/9397",0.0299992310903633,0.271371136515824,0.238851788310092,"3099/3101",2
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","2/69","37/9397",0.0299992310903633,0.271371136515824,0.238851788310092,"3553/3620",2
"Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","2/69","38/9397",0.0315181020976926,0.271371136515824,0.238851788310092,"3099/3101",2
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","2/69","40/9397",0.0346449870012112,0.271371136515824,0.238851788310092,"3099/3101",2
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","3/69","99/9397",0.0360421661816411,0.271371136515824,0.238851788310092,"3553/5029/51393",3
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","2/69","41/9397",0.0362519927008245,0.271371136515824,0.238851788310092,"29968/10993",2
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","2/69","41/9397",0.0362519927008245,0.271371136515824,0.238851788310092,"6119/641",2
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","2/69","41/9397",0.0362519927008245,0.271371136515824,0.238851788310092,"1029/1890",2
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","5/69","251/9397",0.0367960863072304,0.271371136515824,0.238851788310092,"338382/3553/7277/834/3654",5
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","2/69","44/9397",0.0412413309727047,0.280758291621874,0.247114047933615,"2237/5983",2
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","2/69","44/9397",0.0412413309727047,0.280758291621874,0.247114047933615,"3553/5798",2
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","4/69","182/9397",0.0444767195173,0.283645731143078,0.2496554755229,"3553/11151/3687/3654",4
"Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","2/69","47/9397",0.0464730293963235,0.283645731143078,0.2496554755229,"79695/374378",2
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","2/69","47/9397",0.0464730293963235,0.283645731143078,0.2496554755229,"3099/3101",2
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","2/69","50/9397",0.0519344361909507,0.306413173526609,0.269694616009148,"3553/3082",2
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","2/69","52/9397",0.0556969340436736,0.309994966823795,0.272847190543691,"29968/10993",2
NA,NA,"hsa04082","Neuroactive ligand signaling","4/69","199/9397",0.0581949624768474,0.309994966823795,0.272847190543691,"6865/5029/5031/1813",4
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","4/69","201/9397",0.0599430684336913,0.309994966823795,0.272847190543691,"1031/7185/597/2118",4
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","2/69","55/9397",0.0615142175334893,0.309994966823795,0.272847190543691,"6119/641",2
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","4/69","204/9397",0.0626176932017343,0.309994966823795,0.272847190543691,"965/953/898/3654",4
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","2/69","56/9397",0.0634978726632914,0.309994966823795,0.272847190543691,"3553/834",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","5/69","298/9397",0.067371221068765,0.309994966823795,0.272847190543691,"3553/3557/1230/10673/3594",5
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","2/69","58/9397",0.0675295086573455,0.309994966823795,0.272847190543691,"953/1890",2
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","5/69","300/9397",0.0689154130409553,0.309994966823795,0.272847190543691,"3553/1946/2324/3082/3654",5
