"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007059","chromosome segregation","21/212","424/18870",1.44165796653014e-08,2.28368231545772e-05,2.08862760930776e-05,"11004/83540/4751/23397/699/151246/84057/157570/983/29127/9735/90417/116028/5347/55839/10615/83990/8193/81610/11065/24137",21
"BP","GO:0098813","nuclear chromosome segregation","18/212","312/18870",1.61448025129567e-08,2.28368231545772e-05,2.08862760930776e-05,"11004/83540/4751/23397/699/84057/983/29127/9735/90417/116028/5347/10615/83990/8193/81610/11065/24137",18
"BP","GO:0000819","sister chromatid segregation","15/212","225/18870",3.99309273340032e-08,3.7654864475965e-05,3.44386734691158e-05,"11004/83540/4751/23397/699/983/29127/9735/90417/116028/5347/10615/8193/11065/24137",15
"BP","GO:0000070","mitotic sister chromatid segregation","13/212","184/18870",1.67896469149255e-07,0.000118744777805811,0.000108602505570755,"11004/83540/4751/23397/699/983/29127/9735/90417/5347/10615/11065/24137",13
"BP","GO:0008608","attachment of spindle microtubules to kinetochore","7/212","49/18870",1.17779268627134e-06,0.000666395101892325,0.000609476720601044,"11004/83540/4751/29127/9735/90417/10615",7
"BP","GO:0051983","regulation of chromosome segregation","10/212","131/18870",2.29156923209259e-06,0.000943250204936192,0.000862684974691879,"11004/83540/23397/699/983/9735/116028/5347/8193/11065",10
"BP","GO:0000280","nuclear division","18/212","441/18870",2.66245691459419e-06,0.000943250204936192,0.000862684974691879,"11004/83540/4751/23397/699/84057/25788/983/3481/29127/9735/90417/5888/5347/10615/83990/11065/24137",18
"BP","GO:0140014","mitotic nuclear division","14/212","274/18870",2.81050753901116e-06,0.000943250204936192,0.000862684974691879,"11004/83540/4751/23397/699/983/3481/29127/9735/90417/5347/10615/11065/24137",14
"BP","GO:0051988","regulation of attachment of spindle microtubules to kinetochore","5/212","21/18870",3.00079598601122e-06,0.000943250204936192,0.000862684974691879,"4751/29127/9735/90417/10615",5
"BP","GO:0048285","organelle fission","18/212","488/18870",1.07273494145468e-05,0.00303476714937529,0.00277556051167958,"11004/83540/4751/23397/699/84057/25788/983/3481/29127/9735/90417/5888/5347/10615/83990/11065/24137",18
"BP","GO:0051310","metaphase chromosome alignment","8/212","96/18870",1.26402204133192e-05,0.00325083486811636,0.0029731733756879,"11004/83540/4751/29127/9735/90417/10615/81610",8
"BP","GO:0010948","negative regulation of cell cycle process","14/212","320/18870",1.64898092513113e-05,0.00359931165305071,0.00329188593447513,"83540/4751/699/580/2146/1030/983/144455/9735/5888/899/5347/83990/5988",14
"BP","GO:0006260","DNA replication","13/212","278/18870",1.6539784902672e-05,0.00359931165305071,0.00329188593447513,"580/10721/157570/84296/55388/983/144455/11169/5888/80119/116028/10036/9837",13
"BP","GO:0033045","regulation of sister chromatid segregation","8/212","104/18870",2.27409467739305e-05,0.00459440969192344,0.00420199029701692,"83540/699/983/9735/116028/5347/8193/11065",8
"BP","GO:0044772","mitotic cell cycle phase transition","17/212","470/18870",2.43606028203788e-05,0.00459440969192344,0.00420199029701692,"1163/128239/83540/699/580/1871/2146/1030/9833/983/144455/9735/899/5347/8193/11065/5988",17
"BP","GO:0032508","DNA duplex unwinding","7/212","79/18870",2.98950402705751e-05,0.0049776002743863,0.00455245166580771,"10721/84296/25788/5888/80119/83990/9837",7
"BP","GO:0051303","establishment of chromosome localization","8/212","108/18870",2.99113484144811e-05,0.0049776002743863,0.00455245166580771,"11004/83540/4751/29127/9735/90417/10615/81610",8
"BP","GO:0032392","DNA geometric change","7/212","85/18870",4.80915289206355e-05,0.00744483469240289,0.00680895375860033,"10721/84296/25788/5888/80119/83990/9837",7
"BP","GO:0050000","chromosome localization","8/212","116/18870",5.00006571776794e-05,0.00744483469240289,0.00680895375860033,"11004/83540/4751/29127/9735/90417/10615/81610",8
"BP","GO:0000281","mitotic cytokinesis","7/212","88/18870",6.01220284194366e-05,0.00850426091992931,0.00777789188710396,"128239/10112/55165/29127/26586/5347/24137",7
"BP","GO:1901988","negative regulation of cell cycle phase transition","12/212","277/18870",7.33649290125924e-05,0.00982592825682632,0.00898667249177842,"83540/699/580/2146/1030/983/144455/9735/5888/5347/83990/5988",12
"BP","GO:1901991","negative regulation of mitotic cell cycle phase transition","10/212","196/18870",7.71297920588354e-05,0.00982592825682632,0.00898667249177842,"83540/699/580/2146/1030/983/144455/9735/5347/5988",10
"BP","GO:0071103","DNA conformation change","7/212","92/18870",7.98855955839538e-05,0.00982592825682632,0.00898667249177842,"10721/84296/25788/5888/80119/83990/9837",7
"BP","GO:0033044","regulation of chromosome organization","11/212","247/18870",0.000114940294348916,0.0131229657922307,0.0120021022556987,"83540/4751/23397/699/983/9735/80119/116028/5347/8193/11065",11
"BP","GO:2000042","negative regulation of double-strand break repair via homologous recombination","4/212","23/18870",0.000115968237824591,0.0131229657922307,0.0120021022556987,"10721/115004/55010/116028",4
"BP","GO:0048732","gland development","15/212","443/18870",0.000153189840742688,0.0166682330561948,0.0152445598601428,"128239/29842/3232/3488/59350/6943/3206/3207/2146/1030/3481/144455/8140/3219/7298",15
"BP","GO:1905818","regulation of chromosome separation","6/212","74/18870",0.000183760653624212,0.0187771777741453,0.0171733746232998,"83540/23397/699/9735/5347/11065",6
"BP","GO:0006760","folic acid-containing compound metabolic process","4/212","26/18870",0.000190689440182817,0.0187771777741453,0.0171733746232998,"1719/8836/6470/7298",4
"BP","GO:0090068","positive regulation of cell cycle process","11/212","262/18870",0.000192484325008913,0.0187771777741453,0.0171733746232998,"23397/699/10733/2146/983/3481/29127/144455/10615/81610/11065",11
