"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","9/88","158/9397",1.57161834195416e-05,0.00339469561862098,0.00302743322713275,"1870/699/4175/995/9232/10926/113130/1017/898",9
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","8/88","139/9397",4.44729068490881e-05,0.00480307393970152,0.00428344313335954,"699/995/9232/107/5241/1017/3479/898",8
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","7/88","111/9397",7.66537330848059e-05,0.00551906878210603,0.00492197654544543,"699/995/107/5241/1017/3479/3835",7
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","8/88","203/9397",0.000604680799902899,0.0326527631947565,0.0291201543111133,"8515/3680/55742/3479/29895/5881/5880/2277",8
NA,NA,"hsa04820","Cytoskeleton in muscle cells","8/88","232/9397",0.00143787358022598,0.0621161386657623,0.0553959716171272,"1301/8515/7135/3680/81624/29895/84823/1158",8
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","5/88","116/9397",0.00456286847299861,0.14284341873718,0.127389598581403,"4688/3702/6387/29895/5880",5
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","4/88","75/9397",0.00526424209513924,0.14284341873718,0.127389598581403,"6241/1017/3479/898",4
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","4/88","77/9397",0.00577899869914041,0.14284341873718,0.127389598581403,"1870/5888/5881/5880",4
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","7/88","232/9397",0.00595180911404916,0.14284341873718,0.127389598581403,"8515/3680/6387/81624/29895/5881/5880",7
"Metabolism","Global and overview maps","hsa01232","Nucleotide metabolism","4/88","85/9397",0.0081723838722463,0.163650324738568,0.145945465044629,"26289/6241/6240/7083",4
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","5/88","134/9397",0.00833404431539002,0.163650324738568,0.145945465044629,"3135/4277/80328/5881/5880",5
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","6/88","193/9397",0.00934481433070508,0.168206657952691,0.150008861624476,"3702/107/6387/5881/5880/2833",6
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","4/88","93/9397",0.0111395806363658,0.185088416727308,0.165064231291898,"1870/7185/1017/898",4
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","4/88","105/9397",0.0167651637659537,0.217288218341153,0.193780428637578,"8515/3680/107/3479",4
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","3/88","58/9397",0.0169068117171536,0.217288218341153,0.193780428637578,"6241/6240/7083",3
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","4/88","106/9397",0.0173010243539222,0.217288218341153,0.193780428637578,"1870/1017/3479/898",4
