"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","5/103","30/9397",1.64478433710216e-05,0.00300995533689694,0.00285673069075638,"9429/1719/8836/6470/7298",5
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","4/103","28/9397",0.000227678490417222,0.020811323106883,0.0197519028624429,"1719/57016/8836/55034",4
NA,NA,"hsa04981","Folate transport and metabolism","4/103","31/9397",0.000341169231260377,0.020811323106883,0.0197519028624429,"9429/1719/6470/7298",4
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","4/103","41/9397",0.00100965338958073,0.0461916425733184,0.0438402129686369,"580/25788/5888/83990",4
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","4/103","55/9397",0.00302460560278656,0.10611195750772,0.100710227142788,"2189/5888/116028/83990",4
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","5/103","93/9397",0.00347908057402359,0.10611195750772,0.100710227142788,"1163/1871/1030/330/1287",5
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","3/103","32/9397",0.00503629515092795,0.131663144659973,0.124960706752348,"666/330/5366",3
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","6/103","158/9397",0.00769644071751494,0.176056081413154,0.167093778735522,"699/1871/157570/1030/983/5347",6
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","3/103","39/9397",0.00878066403254837,0.178540168661817,0.169451411154442,"1719/6470/7298",3
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","3/103","41/9397",0.0100819364446728,0.184499436937513,0.175107317196949,"1871/4318/1890",3
"Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","3/103","47/9397",0.0146291666627047,0.243376136297724,0.230986842042706,"727936/79695/79709",3
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","7/103","254/9397",0.0213588382272721,0.279627696320081,0.265392981839594,"1131/952/6865/10105/89832/6263/3270",7
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","4/103","97/9397",0.0216946744155105,0.279627696320081,0.265392981839594,"1131/952/6263/3783",4
NA,NA,"hsa04082","Neuroactive ligand signaling","6/103","199/9397",0.0219458363635128,0.279627696320081,0.265392981839594,"140/1131/6865/5031/89832/4987",6
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","6/103","201/9397",0.0229203029770558,0.279627696320081,0.265392981839594,"7850/51513/3206/3207/330/4318",6
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","3/103","65/9397",0.0342385888287328,0.391603859728632,0.37166889189085,"57016/84649/2710",3
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","3/103","75/9397",0.0489807241425095,0.507143235021866,0.481326625128604,"55240/983/5366",3
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","8/103","370/9397",0.0498829411496917,0.507143235021866,0.481326625128604,"140/1131/59350/6865/5031/5367/89832/4987",8
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","2/103","34/9397",0.0531877622380767,0.512282131029897,0.486203920735881,"57016/2203",2
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","2/103","36/9397",0.0588999099723383,0.513270644044662,0.487142112553174,"57016/51181",2
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","2/103","36/9397",0.0588999099723383,0.513270644044662,0.487142112553174,"2650/79695",2
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","5/103","205/9397",0.0744133417874077,0.613093294466614,0.581883195783671,"440689/1030/983/5366/3718",5
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","2/103","42/9397",0.0772002755250068,0.613093294466614,0.581883195783671,"55240/23657",2
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","2/103","43/9397",0.0804056779628346,0.613093294466614,0.581883195783671,"26279/84649",2
