"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0071560","cellular response to transforming growth factor beta stimulus","10/69","308/18805",0.0324675324675325,8.84857895727461,8.42804739900176,1.73801196519166e-07,0.000237286824926076,0.000170270836357186,"25805/8837/10370/9076/7122/1524/10979/3397/4091/7057",10
"BP","GO:0071559","response to transforming growth factor beta","10/69","315/18805",0.0317460317460317,8.65194386933517,8.31131657393305,2.1396467531657e-07,0.000237286824926076,0.000170270836357186,"25805/8837/10370/9076/7122/1524/10979/3397/4091/7057",10
"BP","GO:1901992","positive regulation of mitotic cell cycle phase transition","6/69","105/18805",0.0571428571428571,15.5734989648033,9.08759383987458,2.36501982358593e-06,0.00167932603884931,0.00120504056321018,"891/991/9787/51514/6241/11065",6
"BP","GO:0010965","regulation of mitotic sister chromatid separation","5/69","62/18805",0.0806451612903226,21.9787283777466,10.0407621602774,3.15843859466904e-06,0.00167932603884931,0.00120504056321018,"701/891/991/9787/11065",5
"BP","GO:0051306","mitotic sister chromatid separation","5/69","65/18805",0.0769230769230769,20.9643255295429,9.7844801265602,3.99743809192751e-06,0.00167932603884931,0.00120504056321018,"701/891/991/9787/11065",5
"BP","GO:0007088","regulation of mitotic nuclear division","6/69","121/18805",0.0495867768595041,13.5141933165649,8.38053691060523,5.39433172886109e-06,0.00167932603884931,0.00120504056321018,"701/891/991/9787/3479/11065",6
"BP","GO:0001503","ossification","10/69","458/18805",0.0218340611353712,5.95057274856022,6.50903914131421,6.26048982210582e-06,0.00167932603884931,0.00120504056321018,"25805/1490/4856/91851/55790/10979/2247/3479/4091/5552",10
"BP","GO:0000070","mitotic sister chromatid segregation","7/69","193/18805",0.0362694300518135,9.88473379890366,7.52900837963638,6.77970815124459e-06,0.00167932603884931,0.00120504056321018,"701/891/991/9787/3832/24137/11065",7
"BP","GO:1901989","positive regulation of cell cycle phase transition","6/69","126/18805",0.0476190476190476,12.9779158040028,8.18655050143096,6.81421747053374e-06,0.00167932603884931,0.00120504056321018,"891/991/9787/51514/6241/11065",6
"BP","GO:0140014","mitotic nuclear division","8/69","282/18805",0.0283687943262411,7.7315243087676,6.91183778406992,8.77034067235826e-06,0.00184371865038444,0.00132300441335546,"701/891/991/9787/3479/3832/24137/11065",8
"BP","GO:1905818","regulation of chromosome separation","5/69","77/18805",0.0649350649350649,17.6971579145492,8.90950230569101,9.24224856245699e-06,0.00184371865038444,0.00132300441335546,"701/891/991/9787/11065",5
"BP","GO:0045931","positive regulation of mitotic cell cycle","6/69","136/18805",0.0441176470588235,12.0236572890026,7.82971325318302,1.05650118187097e-05,0.00184371865038444,0.00132300441335546,"891/991/9787/51514/6241/11065",6
"BP","GO:0050673","epithelial cell proliferation","10/69","488/18805",0.0204918032786885,5.58475885008315,6.22745307264934,1.08942634930998e-05,0.00184371865038444,0.00132300441335546,"4856/1012/8837/9076/1910/2247/3357/3479/4070/7057",10
"BP","GO:0030336","negative regulation of cell migration","9/69","388/18805",0.0231958762886598,6.32171671896011,6.42790425677248,1.17364216260206e-05,0.00184371865038444,0.00132300441335546,"4856/969/10370/7122/1524/2247/51765/4070/7057",9
"BP","GO:0090288","negative regulation of cellular response to growth factor stimulus","6/69","140/18805",0.0428571428571429,11.6801242236025,7.6972847436042,1.24687915941238e-05,0.00184371865038444,0.00132300441335546,"25805/8837/91851/2247/4091/7057",6
"BP","GO:0051304","chromosome separation","5/69","84/18805",0.0595238095238095,16.2223947550034,8.48534157208743,1.41576719995577e-05,0.00196260728093868,0.00140831579364021,"701/891/991/9787/11065",5
"BP","GO:2000146","negative regulation of cell motility","9/69","403/18805",0.0223325062034739,6.08641708922214,6.26387680099508,1.58657072743127e-05,0.00202860720979115,0.0014556756210926,"4856/969/10370/7122/1524/2247/51765/4070/7057",9
"BP","GO:0051783","regulation of nuclear division","6/69","147/18805",0.0408163265306122,11.1239278320024,7.47801602369493,1.64629980956902e-05,0.00202860720979115,0.0014556756210926,"701/891/991/9787/3479/11065",6
"BP","GO:0050678","regulation of epithelial cell proliferation","9/69","410/18805",0.0219512195121951,5.98250265111347,6.19014466214381,1.81818886521712e-05,0.00212249626476399,0.00152304795801013,"1012/8837/9076/1910/2247/3357/3479/4070/7057",9
"BP","GO:0040013","negative regulation of locomotion","9/69","421/18805",0.0213776722090261,5.82619023030053,6.07766427258528,2.24027294878687e-05,0.0022806927750349,0.00163656564750262,"4856/969/10370/7122/1524/2247/51765/4070/7057",9
"BP","GO:0098813","nuclear chromosome segregation","8/69","322/18805",0.0248447204968944,6.77108650643622,6.33885060135135,2.28566437159931e-05,0.0022806927750349,0.00163656564750262,"701/891/991/9787/3832/24137/9232/11065",8
"BP","GO:0030071","regulation of mitotic metaphase/anaphase transition","5/69","93/18805",0.0537634408602151,14.6524855851644,8.0094800559068,2.32338673103263e-05,0.0022806927750349,0.00163656564750262,"701/891/991/9787/11065",5
"BP","GO:0000819","sister chromatid segregation","7/69","234/18805",0.0299145299145299,8.15279326148891,6.68154940756062,2.36501054219129e-05,0.0022806927750349,0.00163656564750262,"701/891/991/9787/3832/24137/11065",7
"BP","GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","9/69","427/18805",0.0210772833723653,5.74432338865696,6.01797426184781,2.50378011325857e-05,0.00231137174385796,0.00165858007532307,"25805/4856/91851/10370/7122/10979/3397/4091/7057",9
"BP","GO:0045840","positive regulation of mitotic nuclear division","4/69","47/18805",0.0851063829787234,23.1945729263028,9.24514407655774,2.62838115512018e-05,0.00231137174385796,0.00165858007532307,"991/9787/3479/11065",4
"BP","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","5/69","96/18805",0.0520833333333333,14.194595410628,7.86534242276203,2.70945290082538e-05,0.00231137174385796,0.00165858007532307,"701/891/991/9787/11065",5
"BP","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","5/69","97/18805",0.0515463917525773,14.0482593754669,7.818726025638,2.84863007000924e-05,0.00234009685010389,0.00167919246232124,"701/891/991/9787/11065",5
"BP","GO:0045842","positive regulation of mitotic metaphase/anaphase transition","3/69","17/18805",0.176470588235294,48.0946291560102,11.7887238395317,3.0986800328805e-05,0.00245459725461748,0.00176135496605839,"991/9787/11065",3
"BP","GO:0044784","metaphase/anaphase transition of cell cycle","5/69","100/18805",0.05,13.6268115942029,7.68291576901901,3.29970298510373e-05,0.00247664167753424,0.00177717346895343,"701/891/991/9787/11065",5
"BP","GO:0000280","nuclear division","9/69","448/18805",0.0200892857142857,5.47505822981366,5.81765645382284,3.64395033388872e-05,0.00247664167753424,0.00177717346895343,"701/891/991/9787/3479/3832/24137/9232/11065",9
"BP","GO:0045787","positive regulation of cell cycle","8/69","344/18805",0.0232558139534884,6.33805190428042,6.06381063268262,3.65943031339162e-05,0.00247664167753424,0.00177717346895343,"891/991/10370/9787/51514/3479/6241/11065",8
"BP","GO:0033002","muscle cell proliferation","7/69","251/18805",0.0278884462151394,7.60061204457532,6.38871507644227,3.70169361031984e-05,0.00247664167753424,0.00177717346895343,"4856/1012/8837/10370/2247/3479/7057",7
"BP","GO:1902101","positive regulation of metaphase/anaphase transition of cell cycle","3/69","18/18805",0.166666666666667,45.4227053140097,11.4425749531326,3.70864498405419e-05,0.00247664167753424,0.00177717346895343,"991/9787/11065",3
"BP","GO:0007179","transforming growth factor beta receptor signaling pathway","7/69","252/18805",0.0277777777777778,7.57045088566828,6.37234967464693,3.79647506925898e-05,0.00247664167753424,0.00177717346895343,"25805/10370/7122/10979/3397/4091/7057",7
"BP","GO:0044772","mitotic cell cycle phase transition","9/69","457/18805",0.0196936542669584,5.36723432594425,5.73563434819946,4.25294750344148e-05,0.00269515358932377,0.00193397191735444,"701/891/991/9787/51514/11170/9833/6241/11065",9
"BP","GO:0033045","regulation of sister chromatid segregation","5/69","108/18805",0.0462962962962963,12.6174181427805,7.34762126814899,4.77610729491098e-05,0.00290778330720318,0.00208654945683224,"701/891/991/9787/11065",5
"BP","GO:1901990","regulation of mitotic cell cycle phase transition","8/69","358/18805",0.0223463687150838,6.09019512590074,5.90098210962063,4.85067548992415e-05,0.00290778330720318,0.00208654945683224,"701/891/991/9787/51514/11170/6241/11065",8
"BP","GO:0031589","cell-substrate adhesion","8/69","361/18805",0.0221606648199446,6.03958408607331,5.86721452540809,5.1440850929835e-05,0.00300252124637827,0.00215453093091165,"1490/1012/11170/10979/10894/4091/4070/7057",8
"BP","GO:1901970","positive regulation of mitotic sister chromatid separation","3/69","21/18805",0.142857142857143,38.9337474120083,10.5548625813596,5.99721366717198e-05,0.0034107230548173,0.00244744590142079,"991/9787/11065",3
"BP","GO:0090068","positive regulation of cell cycle process","7/69","274/18805",0.0255474452554745,6.96260446419126,6.03355230580377,6.44453305977987e-05,0.00357349358164794,0.00256424578589136,"891/991/9787/51514/3479/6241/11065",7
"BP","GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","6/69","190/18805",0.0315789473684211,8.60640732265446,6.39493428677357,6.94723939163013e-05,0.00375828706600869,0.00269684877025539,"1524/10979/2247/3479/4915/7057",6
"BP","GO:0051785","positive regulation of nuclear division","4/69","62/18805",0.0645161290322581,17.5829827021973,7.93688646054349,7.88707690315678e-05,0.00408794894000246,0.00293340553238276,"991/9787/3479/11065",4
"BP","GO:0090287","regulation of cellular response to growth factor stimulus","8/69","384/18805",0.0208333333333333,5.67783816425121,5.62037678729425,7.92523915329603e-05,0.00408794894000246,0.00293340553238276,"25805/8837/91851/10370/1756/2247/4091/7057",8
"BP","GO:0048285","organelle fission","9/69","498/18805",0.0180722891566265,4.92535358826611,5.3876092715584,8.23695629230058e-05,0.00415217478552788,0.00297949232391351,"701/891/991/9787/3479/3832/24137/9232/11065",9
"BP","GO:0070374","positive regulation of ERK1 and ERK2 cascade","6/69","198/18805",0.0303030303030303,8.2586736934563,6.23107412465949,8.72433995659505e-05,0.00430013022749507,0.00308566128991151,"1490/8837/10979/2247/3357/3479",6
"BP","GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","8/69","399/18805",0.0200501253132832,5.46438560168537,5.46990351233659,0.000103390696829063,0.00498376949568921,0.0035762229972389,"25805/91851/10370/7122/10979/3397/4091/7057",8
"BP","GO:2000241","regulation of reproductive process","6/69","205/18805",0.0292682926829268,7.97667020148462,6.09508659038913,0.000105607378853649,0.00498376949568921,0.0035762229972389,"991/10370/1268/1910/3479/5730",6
"BP","GO:0045471","response to ethanol","5/69","131/18805",0.0381679389312977,10.4021462551167,6.55322683405076,0.000119483016771827,0.00552111106666482,0.00396180529296056,"9076/7122/1268/2247/3779",5
"BP","GO:0007052","mitotic spindle organization","5/69","135/18805",0.037037037037037,10.0939345142244,6.43513667921084,0.000137630101086336,0.00622986865733661,0.00447039125333062,"891/991/9787/3832/24137",5
"BP","GO:0051983","regulation of chromosome segregation","5/69","137/18805",0.0364963503649635,9.94657780598752,6.37792721061408,0.00014745956057424,0.00642760625367036,0.00461228259482207,"701/891/991/9787/11065",5
"BP","GO:0050679","positive regulation of epithelial cell proliferation","6/69","218/18805",0.0275229357798165,7.50099720781811,5.85888271982179,0.000147794372830112,0.00642760625367036,0.00461228259482207,"1012/8837/9076/2247/3357/3479",6
"BP","GO:0048167","regulation of synaptic plasticity","6/69","223/18805",0.0269058295964126,7.33281341392084,5.77316704470436,0.000167188900734896,0.00713124965057689,0.00511719874314093,"991/91851/1524/11170/4311/4915",6
"BP","GO:0007059","chromosome segregation","8/69","431/18805",0.0185614849187935,5.05867715794075,5.17288131422799,0.000175609864653785,0.00734910716607727,0.00527352761383362,"701/891/991/9787/3832/24137/9232/11065",8
"BP","GO:0001822","kidney development","7/69","325/18805",0.0215384615384615,5.87001114827202,5.37442343462682,0.000185982637633059,0.00763906463463193,0.00548159353023752,"8837/1910/2247/4311/8842/4091/4070",7
"BP","GO:0035767","endothelial cell chemotaxis","3/69","32/18805",0.09375,25.5502717391304,8.43481730556874,0.000217282673467263,0.00860594588839979,0.00617540229854325,"4856/2247/7057",3
"BP","GO:1905820","positive regulation of chromosome separation","3/69","32/18805",0.09375,25.5502717391304,8.43481730556874,0.000217282673467263,0.00860594588839979,0.00617540229854325,"991/9787/11065",3
"BP","GO:0019722","calcium-mediated signaling","6/69","235/18805",0.025531914893617,6.95837187789084,5.5778497588889,0.000222009519097291,0.0086388967255753,0.00619904695983573,"1012/1524/1756/1910/3357/3479",6
"BP","GO:0072001","renal system development","7/69","336/18805",0.0208333333333333,5.67783816425121,5.25054480177708,0.000227932170728593,0.00871644059786239,0.00625469041999333,"8837/1910/2247/4311/8842/4091/4070",7
"BP","GO:0007160","cell-matrix adhesion","6/69","240/18805",0.025,6.81340579710145,5.5004726705735,0.000248656006374985,0.00934778003626639,0.00670772313361245,"1490/1012/11170/10979/10894/7057",6
"BP","GO:0060485","mesenchyme development","7/69","342/18805",0.0204678362573099,5.57822696838715,5.18525913447985,0.000253848790739371,0.00938394363099875,0.00673367318592858,"11096/25805/10370/1910/10979/3357/3479",7
"BP","GO:0072073","kidney epithelium development","5/69","155/18805",0.032258064516129,8.79149135109864,5.91096314735319,0.000262062487535192,0.00950489250621211,0.00682046294404286,"1910/2247/8842/4091/4070",5
"BP","GO:0001667","ameboidal-type cell migration","6/69","243/18805",0.0246913580246914,6.72928967614958,5.45510056676365,0.000265814142383521,0.00950489250621211,0.00682046294404286,"4856/1910/2247/3357/4070/7057",6
"BP","GO:0045667","regulation of osteoblast differentiation","5/69","156/18805",0.032051282051282,8.73513563730955,5.88726637078318,0.000269976658201697,0.00950489250621211,0.00682046294404286,"25805/10979/2247/3479/4091",5
"BP","GO:0043410","positive regulation of MAPK cascade","8/69","464/18805",0.0172413793103448,4.69890054972514,4.89588679672767,0.000289325516225358,0.0100240075134337,0.00719296633302252,"1490/8837/10979/2247/3357/3479/4915/7057",8
"BP","GO:0048864","stem cell development","4/69","87/18805",0.0459770114942529,12.5304014659337,6.54162374917873,0.000293760364460411,0.0100240075134337,0.00719296633302252,"10370/1910/2247/3357",4
"BP","GO:1901987","regulation of cell cycle phase transition","8/69","468/18805",0.0170940170940171,4.65873900656509,4.86408821087366,0.000306481133965655,0.0100391220548759,0.00720381213372521,"701/891/991/9787/51514/11170/6241/11065",8
"BP","GO:0007422","peripheral nervous system development","4/69","88/18805",0.0454545454545455,12.3880105401845,6.49803885829816,0.000306903080687157,0.0100391220548759,0.00720381213372521,"10370/9076/1910/4915",4
"BP","GO:0019934","cGMP-mediated signaling","3/69","36/18805",0.0833333333333333,22.7113526570048,7.9127745609387,0.000309514560301815,0.0100391220548759,0.00720381213372521,"1910/3357/7057",3
"BP","GO:0072006","nephron development","5/69","161/18805",0.031055900621118,8.46385813304528,5.77188932194447,0.000312308125241857,0.0100391220548759,0.00720381213372521,"8837/1910/2247/8842/4070",5
"BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","5/69","169/18805",0.029585798816568,8.06320212674728,5.59731648707892,0.000390285130006921,0.0122790845854716,0.00881115082019506,"891/991/9787/3832/24137",5
"BP","GO:0035633","maintenance of blood-brain barrier","3/69","39/18805",0.0769230769230769,20.9643255295429,7.57377358557819,0.000393063573295077,0.0122790845854716,0.00881115082019506,"9076/7122/1756",3
"BP","GO:0060074","synapse maturation","3/69","40/18805",0.075,20.4402173913043,7.46909625361874,0.000423820342534765,0.0130560211075293,0.00936866020340007,"991/91851/1524",3
"BP","GO:1901888","regulation of cell junction assembly","6/69","270/18805",0.0222222222222222,6.05636070853462,5.07849305124588,0.000465879349523037,0.0141366463028908,0.0101440886573826,"9076/7122/11170/10979/4915/7057",6
"BP","GO:0001508","action potential","5/69","177/18805",0.0282485875706215,7.69876361254401,5.43387193631444,0.000482163652268319,0.0141366463028908,0.0101440886573826,"288/1268/1756/9630/4915",5
"BP","GO:0001894","tissue homeostasis","6/69","272/18805",0.0220588235294118,6.01182864450128,5.05264785250537,0.00048439365149671,0.0141366463028908,0.0101440886573826,"1490/9076/7122/1756/8842/64116",6
"BP","GO:0060249","anatomical structure homeostasis","6/69","272/18805",0.0220588235294118,6.01182864450128,5.05264785250537,0.00048439365149671,0.0141366463028908,0.0101440886573826,"1490/9076/7122/1756/8842/64116",6
"BP","GO:0048659","smooth muscle cell proliferation","5/69","178/18805",0.0280898876404494,7.65551213157466,5.41416205796559,0.000494701616544371,0.0142499764350054,0.0102254114041707,"4856/1012/2247/3479/7057",5
"BP","GO:0048762","mesenchymal cell differentiation","6/69","275/18805",0.0218181818181818,5.94624505928854,5.01435981627703,0.00051323669751236,0.014504136228538,0.0104077898426982,"25805/10370/1910/10979/3357/3479",6
"BP","GO:0048661","positive regulation of smooth muscle cell proliferation","4/69","101/18805",0.0396039603960396,10.7935141340221,5.98884705636979,0.000518482278780818,0.014504136228538,0.0104077898426982,"1012/2247/3479/7057",4
"BP","GO:0097305","response to alcohol","6/69","276/18805",0.0217391304347826,5.92470069313169,5.00172279695615,0.000523142875691181,0.014504136228538,0.0104077898426982,"9076/7122/1268/2247/3779/5732",6
"BP","GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","6/69","278/18805",0.0215827338129496,5.88207694713794,4.97663391723377,0.000543402178485365,0.0148798275540807,0.0106773761386598,"1524/10979/2247/3479/4915/7057",6
"BP","GO:1903844","regulation of cellular response to transforming growth factor beta stimulus","5/69","185/18805",0.027027027027027,7.36584410497454,5.28035659538117,0.00058947727204269,0.0159446413340328,0.0114414587333575,"25805/8837/10370/4091/7057",5
