"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:2000146","negative regulation of cell motility","9/83","403/18805",0.0223325062034739,5.05979251995575,5.48544539146043,7.06935824907729e-05,0.0469447471637179,0.039282922461898,"2192/2247/4223/79148/57826/9750/6237/51765/7130",9
"BP","GO:0019722","calcium-mediated signaling","7/83","235/18805",0.0297872340425532,6.74878236349654,5.90461919155465,8.06703090365449e-05,0.0469447471637179,0.039282922461898,"7852/1756/1910/3708/29995/10231/6263",7
"BP","GO:0097254","renal tubular secretion","3/83","20/18805",0.15,33.9849397590361,9.8268231525055,8.95293926103271e-05,0.0469447471637179,0.039282922461898,"9429/10699/1910",3
"BP","GO:0040013","negative regulation of locomotion","9/83","421/18805",0.0213776722090261,4.84345934808116,5.31045069742024,9.86344896859363e-05,0.0469447471637179,0.039282922461898,"2192/2247/4223/79148/57826/9750/6237/51765/7130",9
"BP","GO:0048709","oligodendrocyte differentiation","5/83","109/18805",0.0458715596330275,10.3929479385432,6.54830442960441,0.000120929281720036,0.0469447471637179,0.039282922461898,"7852/2824/4915/6662/10100",5
"BP","GO:0001659","temperature homeostasis","6/83","184/18805",0.0326086956521739,7.38803038239916,5.79778934090544,0.000163518100304987,0.0482976921411802,0.0404150540816405,"1268/7852/1910/2167/4237/5334",6
"BP","GO:0051209","release of sequestered calcium ion into cytosol","5/83","131/18805",0.0381679389312977,8.64756736871149,5.84828231250002,0.000285595895940923,0.0482976921411802,0.0404150540816405,"1756/2247/3708/5334/6263",5
"BP","GO:0051283","negative regulation of sequestering of calcium ion","5/83","132/18805",0.0378787878787879,8.5820554947061,5.82042802018085,0.000295821185707646,0.0482976921411802,0.0404150540816405,"1756/2247/3708/5334/6263",5
"BP","GO:0007588","excretion","3/83","30/18805",0.1,22.6566265060241,7.90404689356265,0.000308856942711989,0.0482976921411802,0.0404150540816405,"9429/10699/1910",3
"BP","GO:0030336","negative regulation of cell migration","8/83","388/18805",0.0206185567010309,4.67146938268538,4.86557729968344,0.000312829218247586,0.0482976921411802,0.0404150540816405,"2247/4223/79148/57826/9750/6237/51765/7130",8
"BP","GO:0051282","regulation of sequestering of calcium ion","5/83","134/18805",0.0373134328358209,8.4539651141881,5.76559340858989,0.000317103130838957,0.0482976921411802,0.0404150540816405,"1756/2247/3708/5334/6263",5
"BP","GO:0001933","negative regulation of protein phosphorylation","6/83","210/18805",0.0285714285714286,6.47332185886403,5.31068559102014,0.00033341079629111,0.0482976921411802,0.0404150540816405,"64798/1756/2192/11213/4916/8651",6
"BP","GO:0051651","maintenance of location in cell","6/83","212/18805",0.0283018867924528,6.4122527847238,5.27666247769831,0.000350705890842039,0.0482976921411802,0.0404150540816405,"1756/2247/3708/5241/5334/6263",6
"BP","GO:0051208","sequestering of calcium ion","5/83","138/18805",0.036231884057971,8.20892264711018,5.6592736177191,0.000363130576643908,0.0482976921411802,0.0404150540816405,"1756/2247/3708/5334/6263",5
"BP","GO:0050920","regulation of chemotaxis","6/83","217/18805",0.0276497695852535,6.26450502470712,5.19348792903059,0.000397029865730772,0.0482976921411802,0.0404150540816405,"7852/2247/79148/4916/9750/7130",6
