"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007059","chromosome segregation","48/114","424/18870",5.12556231887457e-49,9.10812424064011e-46,7.56425091690753e-46,"6790/11065/221150/10460/9928/4605/9212/701/55143/9493/4751/7153/24137/11004/64151/83903/22974/57082/7272/699/81930/991/23397/891/157570/83540/146909/5347/1063/332/9787/983/4288/147841/57405/157313/220134/9700/3833/3832/151648/10615/113130/9232/9133/259266/4085/285643",48
"BP","GO:0098813","nuclear chromosome segregation","43/114","312/18870",2.25609263356052e-47,2.00453830491852e-44,1.66475888013255e-44,"6790/11065/10460/9928/4605/9212/701/55143/9493/4751/7153/24137/11004/64151/83903/22974/57082/7272/699/81930/991/23397/891/83540/146909/5347/1063/332/9787/983/147841/57405/9700/3833/3832/151648/10615/113130/9232/9133/259266/4085/285643",43
"BP","GO:0140014","mitotic nuclear division","41/114","274/18870",1.36717297906081e-46,8.09822127930356e-44,6.72553163734478e-44,"6790/11065/9928/4605/9212/701/55143/9493/4751/24137/11004/64151/83903/22974/57082/7272/699/81930/991/23397/891/83540/995/146909/5347/1063/332/9787/983/4288/147841/57405/157313/9700/3833/3832/10615/113130/54443/4085/285643",41
"BP","GO:0000070","mitotic sister chromatid segregation","36/114","184/18870",3.52803543842194e-45,1.1337278423282e-42,9.41555214254737e-43,"11065/9928/4605/9212/701/55143/9493/4751/24137/11004/64151/83903/22974/57082/7272/699/81930/991/23397/891/83540/146909/5347/1063/332/9787/983/147841/57405/9700/3833/3832/10615/113130/4085/285643",36
"BP","GO:0000819","sister chromatid segregation","38/114","225/18870",3.71995949078631e-45,1.1337278423282e-42,9.41555214254737e-43,"11065/10460/9928/4605/9212/701/55143/9493/4751/7153/24137/11004/64151/83903/22974/57082/7272/699/81930/991/23397/891/83540/146909/5347/1063/332/9787/983/147841/57405/9700/3833/3832/10615/113130/4085/285643",38
"BP","GO:0000280","nuclear division","46/114","441/18870",3.82800622057917e-45,1.1337278423282e-42,9.41555214254737e-43,"6790/11065/9928/4605/9212/701/55143/9493/4751/7153/24137/11004/64151/83903/22974/57082/7272/699/81930/991/23397/891/83540/995/146909/5347/1063/332/9787/983/4288/147841/57405/157313/9700/3833/3832/151648/10615/113130/9232/9133/54443/259266/4085/285643",46
"BP","GO:0048285","organelle fission","47/114","488/18870",1.51288549877917e-44,3.84056790190083e-42,3.18957213426826e-42,"6790/11065/9928/4605/9212/701/55143/9493/4751/7153/24137/11004/64151/83903/22974/57082/7272/699/81930/991/23397/891/83540/995/146909/5347/1063/332/9787/983/4288/147841/57405/157313/9700/3833/113115/3832/151648/10615/113130/9232/9133/54443/259266/4085/285643",47
"BP","GO:0051983","regulation of chromosome segregation","26/114","131/18870",1.13999432005782e-32,2.53221238342843e-30,2.10298952200139e-30,"11065/10460/9212/701/55143/11004/64151/83903/57082/7272/699/991/23397/891/83540/5347/1063/332/9787/983/4288/147841/57405/157313/9700/4085",26
"BP","GO:0007088","regulation of mitotic nuclear division","24/114","118/18870",1.88343338987494e-30,3.71873459311974e-28,3.08839019018089e-28,"6790/11065/9212/701/55143/4751/83903/57082/7272/699/991/891/83540/995/5347/1063/332/9787/4288/147841/57405/157313/9700/4085",24
"BP","GO:1905818","regulation of chromosome separation","21/114","74/18870",4.23958945596832e-30,7.5337504632557e-28,6.25674149186062e-28,"11065/9212/701/55143/64151/83903/57082/7272/699/991/23397/891/83540/5347/1063/332/9787/147841/57405/9700/4085",21
