GEN1,GEN2
AURKA,UBE2C
AURKA,ZWINT
AURKA,NUSAP1
AURKA,SKA3
AURKA,WDR62
AURKA,TACC3
AURKA,KIF14
AURKA,MYBL2
AURKA,CEP55
AURKA,AURKB
AURKA,GTSE1
AURKA,FAM111B
AURKA,CKAP2L
AURKA,BUB1B
AURKA,SGO1-AS1
AURKA,CDCA8
AURKA,FOXM1
AURKA,KIF23
AURKA,NEK2
AURKA,DEPDC1
AURKA,TOP2A
AURKA,IL37
AURKA,ERCC6L
AURKA,KIF4A
AURKA,HMMR
AURKA,EXO1
AURKA,KIF2C
AURKA,LOC100288637
AURKA,NCAPG
AURKA,LOC107985017
AURKA,DIAPH3
AURKA,HASPIN
AURKA,TPX2
AURKA,PRR11
AURKA,BLM
AURKA,RRM2
AURKA,HJURP
AURKA,KNL1
AURKA,IQGAP3
AURKA,TTK
AURKA,BUB1
AURKA,CENPE
AURKA,KIF18A
AURKA,NT5DC4
AURKA,E2F7
AURKA,LHX2
AURKA,CDC20
AURKA,DEPDC1B
AURKA,SAPCD2
AURKA,NCAPH
AURKA,MIR924HG
AURKA,CCNB1
AURKA,ESCO2
AURKA,NUF2
AURKA,CDC25C
AURKA,KIF18B
AURKA,PBK
AURKA,TBX18
AURKA,E2F8
AURKA,IRX5
AURKA,POLQ
AURKA,PLK1
AURKA,FAM72A
AURKA,NEIL3
AURKA,HOXD13
AURKA,PRC1
AURKA,CENPF
AURKA,PRC1-AS1
AURKA,BIRC5
AURKA,DLGAP5
AURKA,KIF15
AURKA,CDK1
AURKA,ASF1B
AURKA,FAM72D
AURKA,LMNB1
AURKA,MKI67
AURKA,SPC24
AURKA,SPC25
AURKA,CDCA2
AURKA,MELK
AURKA,SKA1
AURKA,LOC105369315
AURKA,CENPA
AURKA,E2F2
AURKA,CDC45
AURKA,PCLAF
AURKA,ESPL1
AURKA,ZIC2
AURKA,KIFC1
AURKA,UHRF1
AURKA,LOC105371050
AURKA,SHCBP1
AURKA,FAM72C
AURKA,LOC112268460
AURKA,MTFR2
AURKA,KIF11
AURKA,SGO1
AURKA,CLSPN
AURKA,CCNF
AURKA,SPAG5
AURKA,PIMREG
AURKA,CDCA5
AURKA,FAM72B
AURKA,PTTG1
AURKA,TROAP
AURKA,ARHGAP11A
AURKA,MCM10
AURKA,RDM1
AURKA,CCNB2
