"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","13/204","38/8865",1.13107842856919e-12,2.78245293428022e-10,2.30978121202551e-10,"3575/6890/920/3561/5788/29851/915/926/3932/925/958/3718/916",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","28/204","298/8865",1.70698793721268e-10,2.0995951627716e-08,1.74292452536453e-08,"3604/8784/1234/3575/920/4283/3561/10663/3627/3594/3560/2833/10673/1230/6352/3606/6362/7850/3553/8740/970/1236/50615/958/5008/58191/3557/8744",28
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","20/204","158/8865",4.65649712156526e-10,3.81832763968351e-08,3.16968575994267e-08,"3383/3689/80380/942/920/941/7412/5788/29851/3683/23562/6693/923/102723996/926/925/958/914/5133/9378",20
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","13/204","109/8865",1.16164116786434e-06,7.14409318236569e-05,5.93048385699163e-05,"920/6772/3561/3594/3560/915/3553/50615/3932/4794/3718/916/2625",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","12/204","100/8865",2.83713310179363e-06,0.000116322457173539,9.65620739908711e-05,"1234/4283/3561/3627/3560/2833/1230/6352/3606/6362/8740/1236",12
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","12/204","100/8865",2.83713310179363e-06,0.000116322457173539,9.65620739908711e-05,"3575/920/7850/915/290/926/3553/925/914/921/952/916",12
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","11/204","93/8865",8.56619822950396e-06,0.00027381257969738,0.000227298418747504,"920/6772/3561/3594/3560/915/3932/4794/3718/916/2625",11
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","16/204","193/8865",8.90447413650017e-06,0.00027381257969738,0.000227298418747504,"1794/1234/111/6772/4283/10663/3627/2833/1230/6352/5880/6362/1236/3702/58191/3718",16
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","7/204","37/8865",1.76586584729647e-05,0.000482669998261036,0.000400675993421656,"3383/7412/3606/3553/8542/3620/335",7
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","10/204","95/8865",6.15009068962536e-05,0.00151292230964784,0.00125591325661823,"3383/3689/942/10673/941/3683/6352/3606/3553/4312",10
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","12/204","143/8865",0.000107931836197157,0.00225916671018004,0.00187538871106088,"55423/6772/11006/79168/353514/8061/4688/126014/3553/54209/3932/2215",12
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","11/204","122/8865",0.000110203254155124,0.00225916671018004,0.00187538871106088,"920/5788/29851/915/926/3932/925/5133/3702/4794/916",11
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","7/204","50/8865",0.000132989553401673,0.00251657154898551,0.00208906666881981,"3383/3689/7412/3683/3606/3553/958",7
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","9/204","90/8865",0.00021374954149548,0.00375588480056343,0.00311785045489647,"116071/920/6772/10538/915/3932/5133/4794/916",9
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","9/204","102/8865",0.000546740753447339,0.00896654835653635,0.00744334780131815,"3383/713/3689/2359/714/3683/5724/2215/3875",9
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","8/204","83/8865",0.000616170599143741,0.00923946159327757,0.00766989965381193,"115004/834/3627/9447/6352/3606/81030/3553",8
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","14/204","224/8865",0.000648405490150843,0.00923946159327757,0.00766989965381193,"3383/111/3689/920/3561/3560/3683/8061/7850/915/3932/958/3718/916",14
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","9/204","105/8865",0.000676058165361773,0.00923946159327757,0.00766989965381193,"3383/10673/7412/330/597/3553/8740/3932/958",9
"Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","7/204","66/8865",0.000760168320184616,0.00984217930344292,0.00817023014492053,"6772/3561/3594/3606/3553/50615/2625",7
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","6/204","50/8865",0.0009427664704339,0.011596027586337,0.0096261418560093,"942/10673/941/29851/102723996/958",6
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","7/204","70/8865",0.00108297673566803,0.0126862989035398,0.0105312023418345,"3383/3689/942/941/3683/5880/958",7
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","12/204","189/8865",0.00137091983689983,0.0153293763580617,0.0127252846104577,"115362/8767/834/6772/330/9447/6352/4939/3606/9051/3553/2633",12
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","7/204","81/8865",0.00254042891096084,0.0271715440041898,0.0225557532597896,"1520/10437/6890/920/926/925/5641",7
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","11/204","182/8865",0.00316644559482593,0.0324560673469658,0.0269425633945715,"1520/11151/3689/8767/6772/1509/3606/3553/2215/3687/4046",11
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","6/204","64/8865",0.0034094113470062,0.033548607654541,0.0278495074239664,"1234/920/684/60489/164668/4600",6
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","8/204","109/8865",0.00357220172937398,0.0337811423507553,0.0280425400772209,"942/6772/4283/3627/941/6352/3553/958",8
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","9/204","134/8865",0.0037076863555707,0.0337811423507553,0.0280425400772209,"3383/962/3689/4068/4277/3683/5880/3932/2215",9
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","9/204","138/8865",0.00450313665314087,0.0395632720240234,0.0328424252146364,"920/834/3606/5880/926/3553/3932/925/6195",9
"Human Diseases","Infectious disease: viral","hsa05162","Measles","9/204","139/8865",0.00472138899998955,0.0400504032412906,0.0332468045734291,"6772/3561/3560/4939/915/3553/4600/3718/916",9
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","8/204","116/8865",0.00521353644643339,0.0427509988607538,0.0354886340564238,"3383/3689/7412/3683/23562/5880/4688/3702",8
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","8/204","119/8865",0.00607170196942157,0.0481818930476679,0.039996950155103,"3383/3659/3627/7412/330/6352/3553/2277",8
