"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007059","chromosome segregation","69/181","424/18870",7.6848317266969e-67,1.53235544630336e-63,1.27729992594257e-63,"7153/6491/81610/1062/9055/54892/146909/83540/157570/64151/55143/983/64946/64105/83903/699/220134/24137/11339/4751/51203/22974/701/7272/1063/2177/57082/11130/147841/9787/55355/113130/81930/29127/6790/23397/9928/4288/57405/990/898/9212/9133/9319/79019/2491/83990/10460/3832/151246/285643/4605/332/991/5347/9232/151648/10615/11065/259266/1894/3833/221150/157313/891/11004/9700/84057/56155",69
"BP","GO:0000280","nuclear division","67/181","441/18870",1.16507587238321e-62,1.16158064476606e-59,9.68239369733207e-60,"675/7153/1062/9055/54892/146909/83540/54443/64151/55143/4603/983/64105/83903/699/24137/4751/51203/22974/701/7272/1063/10635/2177/1164/57082/286151/11130/147841/9787/113130/81930/29127/6790/23397/9928/4288/57405/898/9212/9133/9319/2491/83990/3832/285643/4605/332/991/5347/9232/151648/10615/11065/259266/3833/157313/891/11004/5888/9700/995/84057/9088/3479/56155/56603",67
"BP","GO:0048285","organelle fission","68/181","488/18870",5.09327341790916e-61,3.38532906510362e-58,2.82185218486967e-58,"675/7153/1062/9055/54892/146909/83540/54443/64151/55143/4603/983/64105/83903/699/24137/4751/51203/22974/701/7272/1063/10635/2177/1164/57082/286151/11130/147841/9787/113130/81930/29127/6790/23397/9928/4288/57405/898/9212/9133/9319/2491/83990/3832/285643/4605/113115/332/991/5347/9232/151648/10615/11065/259266/3833/157313/891/11004/5888/9700/995/84057/9088/3479/56155/56603",68
"BP","GO:0098813","nuclear chromosome segregation","58/181","312/18870",4.32979406710953e-59,2.1584023424541e-56,1.79914337683315e-56,"7153/81610/1062/9055/54892/146909/83540/64151/55143/983/64105/83903/699/24137/4751/51203/22974/701/7272/1063/2177/57082/11130/147841/9787/113130/81930/29127/6790/23397/9928/57405/990/898/9212/9133/9319/2491/83990/10460/3832/285643/4605/332/991/5347/9232/151648/10615/11065/259266/1894/3833/891/11004/9700/84057/56155",58
"BP","GO:0140014","mitotic nuclear division","52/181","274/18870",3.22886609788145e-53,1.28767179983512e-50,1.07334306706417e-50,"1062/9055/54892/146909/83540/54443/64151/55143/983/64105/83903/699/24137/4751/51203/22974/701/7272/1063/57082/286151/11130/147841/9787/113130/81930/29127/6790/23397/9928/4288/57405/9212/9319/2491/3832/285643/4605/332/991/5347/10615/11065/3833/157313/891/11004/9700/995/9088/3479/56155",52
"BP","GO:0000819","sister chromatid segregation","47/181","225/18870",4.72390763166425e-50,1.56991196958975e-47,1.30860528954348e-47,"7153/1062/9055/54892/146909/83540/64151/55143/983/64105/83903/699/24137/4751/51203/22974/701/7272/1063/57082/11130/147841/9787/113130/81930/29127/23397/9928/57405/990/9212/9319/2491/10460/3832/285643/4605/332/991/5347/10615/11065/3833/891/11004/9700/56155",47
"BP","GO:0000070","mitotic sister chromatid segregation","44/181","184/18870",1.2794479954637e-49,3.6445990042209e-47,3.03796749599577e-47,"1062/9055/54892/146909/83540/64151/55143/983/64105/83903/699/24137/4751/51203/22974/701/7272/1063/57082/11130/147841/9787/113130/81930/29127/23397/9928/57405/9212/9319/2491/3832/285643/4605/332/991/5347/10615/11065/3833/891/11004/9700/56155",44
"BP","GO:0044772","mitotic cell cycle phase transition","52/181","470/18870",1.21931640452215e-40,3.03914613827145e-38,2.53329026676378e-38,"6491/1062/894/83540/54443/55143/128239/983/83903/699/51512/1033/701/7272/1063/2146/63967/1164/57082/11130/147841/9787/1869/641/113130/6241/6790/90381/9928/57405/990/2305/898/9212/9133/4998/1870/9319/899/10460/144455/332/991/5347/9833/11065/51514/891/9700/995/9088/56155",52
"BP","GO:1901987","regulation of cell cycle phase transition","51/181","456/18870",4.59043861763595e-40,1.01703717817401e-37,8.47754687397328e-38,"675/6491/81610/1062/894/83540/54443/55143/983/83903/699/51512/701/7272/79968/1063/2146/2177/63967/57082/11130/147841/3014/9787/1869/641/113130/6241/6790/90381/9928/57405/990/9212/4998/9319/83990/144455/332/991/5347/11065/51514/891/8318/5888/9700/995/9088/56155/6657",51
"BP","GO:0010948","negative regulation of cell cycle process","43/181","320/18870",4.66920591222057e-37,9.31039658896782e-35,7.76071172146977e-35,"675/83540/55143/983/83903/699/51512/4751/701/79733/7272/79968/1063/2146/2177/63967/57082/286151/11130/147841/3014/1869/641/90381/57405/990/9212/4998/9319/899/83990/144455/332/991/5347/51514/891/8318/5888/9700/9088/56155/6657",43
"BP","GO:0051983","regulation of chromosome segregation","31/181","131/18870",9.36386080542309e-35,1.69741258600124e-32,1.4148838480156e-32,"1062/54892/83540/64151/55143/983/83903/699/701/7272/1063/57082/11130/147841/9787/23397/4288/57405/990/9212/9319/10460/332/991/5347/11065/157313/891/11004/9700/56155",31
"BP","GO:0007088","regulation of mitotic nuclear division","30/181","118/18870",1.10203126058889e-34,1.8312086113452e-32,1.52640996532443e-32,"83540/55143/83903/699/4751/51203/701/7272/1063/57082/286151/11130/147841/9787/6790/4288/57405/9212/9319/332/991/5347/11065/157313/891/9700/995/9088/3479/56155",30
"BP","GO:0000075","cell cycle checkpoint signaling","34/181","192/18870",1.77022258245609e-33,2.71524909955188e-31,2.26330482404709e-31,"675/83540/55143/983/83903/699/51512/701/7272/79968/1063/2177/63967/57082/11130/147841/3014/1869/641/90381/57405/990/9212/4998/9319/83990/332/991/5347/51514/891/8318/5888/56155",34
"BP","GO:0051783","regulation of nuclear division","31/181","146/18870",3.68731851308339e-33,5.25179508220592e-31,4.37765107681104e-31,"83540/55143/83903/699/4751/51203/701/7272/1063/10635/57082/286151/11130/147841/9787/6790/4288/57405/9212/9319/332/991/5347/11065/157313/891/9700/995/9088/3479/56155",31
"BP","GO:1901988","negative regulation of cell cycle phase transition","38/181","277/18870",4.74802792890323e-33,6.31171179348869e-31,5.26114814016716e-31,"675/83540/55143/983/83903/699/51512/701/7272/79968/1063/2146/2177/63967/57082/11130/147841/3014/1869/641/90381/57405/990/9212/4998/9319/83990/144455/332/991/5347/51514/891/8318/5888/9088/56155/6657",38
"BP","GO:1901990","regulation of mitotic cell cycle phase transition","41/181","355/18870",1.36195640932319e-32,1.69733817511902e-30,1.41482182257981e-30,"6491/1062/894/83540/54443/55143/983/83903/699/51512/701/7272/1063/2146/63967/57082/11130/147841/9787/1869/641/113130/6241/6790/90381/9928/57405/990/9212/4998/9319/144455/332/991/5347/11065/51514/891/9700/995/56155",41
"BP","GO:0045786","negative regulation of cell cycle","43/181","407/18870",1.476414103455e-32,1.73174689546428e-30,1.44350332467829e-30,"675/83540/55143/983/83903/699/51512/4751/701/79733/7272/79968/1063/2146/2177/63967/57082/286151/11130/147841/3014/1869/641/90381/57405/990/9212/4998/9319/899/83990/144455/332/991/5347/51514/891/8318/5888/9700/9088/56155/6657",43
"BP","GO:1905818","regulation of chromosome separation","24/181","74/18870",8.88062419002454e-31,9.83775813050496e-29,8.20029567020395e-29,"54892/83540/64151/55143/83903/699/701/7272/1063/57082/11130/147841/9787/23397/57405/9212/9319/332/991/5347/11065/891/9700/56155",24
"BP","GO:0051304","chromosome separation","24/181","81/18870",1.10402090653587e-29,1.15864088822764e-27,9.65788925994533e-28,"54892/83540/64151/55143/83903/699/701/7272/1063/57082/11130/147841/9787/23397/57405/9212/9319/332/991/5347/11065/891/9700/56155",24
"BP","GO:0090068","positive regulation of cell cycle process","34/181","262/18870",9.60069299367993e-29,9.57189091469889e-27,7.97868117737927e-27,"6491/10733/81610/894/54892/64151/55143/983/699/51203/79733/2146/10635/9787/113130/6241/29127/6790/23397/9928/990/9212/11113/144455/332/991/10615/11065/51514/1894/891/9700/995/3479",34
"BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","29/181","163/18870",1.13223148356626e-28,1.07508075153863e-26,8.96137099023119e-27,"6491/1062/9055/83540/55143/983/64946/24137/4751/51203/284403/22974/7272/9787/29127/6790/89958/57405/9212/10460/3832/285643/4605/332/991/5347/3833/891/9700",29
"BP","GO:0033045","regulation of sister chromatid segregation","25/181","104/18870",2.48763922147852e-28,2.25470573074008e-26,1.87941738311703e-26,"1062/83540/55143/983/83903/699/701/7272/1063/57082/11130/147841/9787/57405/990/9212/9319/10460/332/991/5347/11065/891/9700/56155",25
"BP","GO:0010965","regulation of mitotic sister chromatid separation","21/181","59/18870",4.80429141533456e-28,4.16511177485961e-26,3.47184262920516e-26,"83540/55143/83903/699/701/7272/1063/57082/11130/147841/9787/57405/9212/9319/332/991/5347/11065/891/9700/56155",21
"BP","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","24/181","94/18870",6.31010375041058e-28,5.24264453263279e-26,4.37002360609575e-26,"1062/83540/55143/83903/699/701/7272/1063/57082/11130/147841/9787/57405/990/9212/9319/10460/332/991/5347/11065/891/9700/56155",24
"BP","GO:0007093","mitotic cell cycle checkpoint signaling","27/181","142/18870",1.46006055433961e-27,1.11982792729945e-25,9.3343625466179e-26,"83540/55143/983/83903/699/51512/701/7272/1063/2177/63967/57082/11130/147841/641/90381/57405/990/9212/4998/9319/332/991/5347/51514/891/56155",27
"BP","GO:0044784","metaphase/anaphase transition of cell cycle","24/181","97/18870",1.46015677581673e-27,1.11982792729945e-25,9.3343625466179e-26,"1062/83540/55143/83903/699/701/7272/1063/57082/11130/147841/9787/57405/990/9212/9319/10460/332/991/5347/11065/891/9700/56155",24
"BP","GO:0045787","positive regulation of cell cycle","36/181","334/18870",1.57164508017129e-27,1.16068899624502e-25,9.67496133173669e-26,"675/6491/10733/81610/894/54892/64151/55143/983/699/51203/79733/2146/10635/9787/113130/6241/29127/6790/23397/9928/990/9212/11113/144455/332/991/10615/11065/51514/1894/891/9700/995/3479/64094",36
"BP","GO:0051306","mitotic sister chromatid separation","21/181","62/18870",1.66333556199316e-27,1.18453253950513e-25,9.87370997138043e-26,"83540/55143/83903/699/701/7272/1063/57082/11130/147841/9787/57405/9212/9319/332/991/5347/11065/891/9700/56155",21
"BP","GO:0051321","meiotic cell cycle","34/181","287/18870",2.15175340303069e-27,1.47951596056662e-25,1.23325539868801e-25,"675/7153/83540/4603/4751/7272/10635/2177/1164/286151/3014/81930/9156/6790/23397/7516/898/9133/9319/83990/151246/991/5347/9232/151648/259266/5888/9700/995/84057/9088/27127/56155/56603",34
"BP","GO:0030071","regulation of mitotic metaphase/anaphase transition","23/181","90/18870",8.28465414425422e-27,5.50653345454764e-25,4.58998908553594e-25,"1062/83540/55143/83903/699/701/7272/1063/57082/11130/147841/9787/57405/990/9212/9319/332/991/5347/11065/891/9700/56155",23
"BP","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","23/181","93/18870",1.91687868805945e-26,1.23298583999695e-24,1.02775940524478e-24,"1062/83540/55143/83903/699/701/7272/1063/57082/11130/147841/9787/57405/990/9212/9319/332/991/5347/11065/891/9700/56155",23
"BP","GO:0007051","spindle organization","29/181","202/18870",7.17888881705844e-26,4.47334509412954e-24,3.72877152701818e-24,"6491/1062/9055/83540/55143/64946/24137/4751/284403/22974/7272/9787/29127/6790/57405/9212/9133/10460/3832/285643/4605/332/991/5347/10615/259266/3833/891/9700",29
"BP","GO:0033044","regulation of chromosome organization","31/181","247/18870",8.72585011320073e-26,5.27252882597644e-24,4.3949337571751e-24,"7153/1062/54892/83540/64151/55143/983/83903/699/4751/701/7272/1063/57082/11130/147841/9787/23397/57405/990/9212/9319/10460/332/991/5347/80119/11065/891/9700/56155",31
"BP","GO:0007052","mitotic spindle organization","25/181","130/18870",1.04900355658745e-25,6.15209732892756e-24,5.12810097786867e-24,"6491/1062/9055/83540/55143/64946/24137/4751/284403/22974/7272/9787/29127/6790/57405/9212/10460/3832/285643/4605/332/991/5347/3833/891",25
"BP","GO:0033047","regulation of mitotic sister chromatid segregation","19/181","54/18870",2.36835183035629e-25,1.34928387135156e-23,1.12470001206995e-23,"83540/55143/983/83903/699/701/7272/1063/57082/11130/147841/57405/9212/9319/332/991/5347/891/56155",19
"BP","GO:0007094","mitotic spindle assembly checkpoint signaling","18/181","46/18870",4.44965955142579e-25,2.33490030145869e-23,1.94626383149621e-23,"83540/55143/83903/699/701/7272/1063/57082/11130/147841/57405/9212/9319/332/991/5347/891/56155",18
