"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","29/88","158/8865",8.37474018783643e-30,9.88219342164699e-28,8.4628953477084e-28,"894/157570/983/699/701/7272/57082/4171/1869/113130/90381/990/898/9212/9133/4998/1870/9319/991/5347/9232/151648/4173/891/8318/9700/995/9088/27127",29
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","16/88","139/8865",3.08751472507114e-13,1.82163368779197e-11,1.56000744003594e-11,"983/699/286151/6790/898/9133/991/5347/9232/151648/891/9700/995/9088/3479/27127",16
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","9/88","75/8865",4.54053702892139e-08,1.78594456470908e-06,1.52944405184721e-06,"894/983/51512/5366/6241/898/9133/891/3479",9
"Cellular Processes","Cell motility","hsa04814","Motor proteins","12/88","197/8865",4.85765059008184e-07,1.43300692407414e-05,1.22719593854699e-05,"1062/146909/24137/10112/56992/81930/9928/3832/285643/3833/11004/7135",12
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","9/88","111/8865",1.36613833116102e-06,3.22408646154001e-05,2.76103746929385e-05,"983/699/6790/9133/5347/891/995/9088/3479",9
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","9/88","157/8865",2.35808442608679e-05,0.000463756603797069,0.00039715106123567,"894/983/1869/2305/898/9133/1870/4605/891",9
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","5/88","41/8865",4.86140907678903e-05,0.000819494672944437,0.000701797400559018,"675/641/7516/83990/5888",5
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","5/88","55/8865",0.000202349905143256,0.00298466110086303,0.00255599880180955,"675/2177/641/83990/5888",5
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","9/88","224/8865",0.000361020958200894,0.00473338589641173,0.00405356865348373,"894/701/1869/898/9133/1870/991/9232/9700",9
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","6/88","133/8865",0.00201829460635422,0.0238158763549798,0.0203953981273689,"10733/894/9133/5347/891/3479",6
