"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007059","chromosome segregation","19/182","431/18805",0.0440835266821346,4.55489406185462,7.38073199370319,4.14282143237975e-08,9.42683861000769e-05,8.58278075665776e-05,"4751/1063/699/151246/56852/84057/9232/4288/113130/9918/29127/81624/9787/11339/3835/332/93323/898/22974",19
"BP","GO:0090068","positive regulation of cell cycle process","15/182","274/18805",0.0547445255474453,5.65643298307532,7.67565071742681,7.40230750687687e-08,9.42683861000769e-05,8.58278075665776e-05,"6241/699/56852/995/10926/6240/79733/113130/9918/29127/3479/11113/9787/332/898",15
"BP","GO:0000280","nuclear division","18/182","448/18805",0.0401785714285714,4.15141777864992,6.67390664471454,3.78430689393451e-07,0.00032128765529504,0.000292520283766236,"8438/4751/1063/699/84057/995/9232/4288/113130/9918/29127/3479/9787/5888/3835/332/898/22974",18
"BP","GO:0006261","DNA-templated DNA replication","11/182","162/18805",0.0679012345679012,7.01583909917243,7.60206910441455,5.19158015843275e-07,0.000330573866588205,0.000300975028658615,"4175/10293/51053/10926/6240/79733/1017/5888/91607/7083/898",11
"BP","GO:0045787","positive regulation of cell cycle","15/182","344/18805",0.0436046511627907,4.50541464349604,6.48674760724952,1.35282113016795e-06,0.000689127083707553,0.000627424199949472,"6241/699/56852/995/10926/6240/79733/113130/9918/29127/3479/11113/9787/332/898",15
"BP","GO:0048285","organelle fission","18/182","498/18805",0.036144578313253,3.73460876472925,6.1141667036833,1.73080689467256e-06,0.000734727526788503,0.000668941682274326,"8438/4751/1063/699/84057/995/9232/4288/113130/9918/29127/3479/9787/5888/3835/332/898/22974",18
"BP","GO:0090329","regulation of DNA-templated DNA replication","6/182","41/18805",0.146341463414634,15.1206110962209,8.94785014053149,2.56820829311544e-06,0.000934460931795003,0.000850791408982452,"4175/51053/10926/79733/1017/91607",6
"BP","GO:0140014","mitotic nuclear division","13/182","282/18805",0.0460992907801418,4.76317122593718,6.29446559065686,3.83498827292791e-06,0.00122096439139342,0.00111164199542897,"4751/1063/699/995/4288/113130/9918/29127/3479/9787/3835/332/22974",13
"BP","GO:0044786","cell cycle DNA replication","6/182","45/18805",0.133333333333333,13.7765567765568,8.48280849646874,4.50535902749733e-06,0.00127501660478175,0.001160854495623,"4175/51053/10926/79733/5888/7083",6
"BP","GO:0009263","deoxyribonucleotide biosynthetic process","4/182","15/18805",0.266666666666667,27.5531135531136,10.1702981739986,1.0660627211639e-05,0.00226271812567038,0.00206011945151234,"26289/6241/6240/6470",4
"BP","GO:0009265","2'-deoxyribonucleotide biosynthetic process","4/182","15/18805",0.266666666666667,27.5531135531136,10.1702981739986,1.0660627211639e-05,0.00226271812567038,0.00206011945151234,"26289/6241/6240/6470",4
"BP","GO:0046385","deoxyribose phosphate biosynthetic process","4/182","15/18805",0.266666666666667,27.5531135531136,10.1702981739986,1.0660627211639e-05,0.00226271812567038,0.00206011945151234,"26289/6241/6240/6470",4
