"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0000280","nuclear division","23/201","448/18805",0.0513392857142857,4.8031605366027,8.46842792427724,5.29923631705613e-10,7.57362690746825e-07,6.95527899666788e-07,"10459/4751/10018/84057/995/3833/157313/80010/10592/9585/4288/3619/221150/9787/5888/9088/9212/332/10403/29128/27338/150365/2491",23
"BP","GO:0007088","regulation of mitotic nuclear division","13/201","121/18805",0.107438016528926,10.051601496649,10.3825293140535,5.75066583710573e-10,7.57362690746825e-07,6.95527899666788e-07,"10459/4751/995/157313/9585/4288/3619/221150/9787/9088/9212/332/10403",13
"BP","GO:0140014","mitotic nuclear division","18/201","282/18805",0.0638297872340425,5.97173705938393,8.74373581660398,1.49597770947957e-09,1.31346842892307e-06,1.20623044785406e-06,"10459/4751/995/3833/157313/10592/9585/4288/3619/221150/9787/9088/9212/332/10403/29128/27338/2491",18
"BP","GO:0048285","organelle fission","23/201","498/18805",0.0461847389558233,4.32091550280725,7.80699481147823,4.03208815323867e-09,2.65513004890766e-06,2.43835225687959e-06,"10459/4751/10018/84057/995/3833/157313/80010/10592/9585/4288/3619/221150/9787/5888/9088/9212/332/10403/29128/27338/150365/2491",23
"BP","GO:0051783","regulation of nuclear division","13/201","147/18805",0.0884353741496599,8.27376721833012,9.20249321279872,6.39941981340628e-09,3.37121435770243e-06,3.09597194341213e-06,"10459/4751/995/157313/9585/4288/3619/221150/9787/9088/9212/332/10403",13
"BP","GO:0007059","chromosome segregation","21/201","431/18805",0.0487238979118329,4.5584721404578,7.76819884229672,7.88368707243995e-09,3.46093862480114e-06,3.17837068288895e-06,"10459/4751/151246/1894/84057/3833/157313/10592/4288/3619/221150/81624/9787/84191/9212/672/332/10403/29128/79980/2491",21
"BP","GO:0006261","DNA-templated DNA replication","13/201","162/18805",0.0802469135802469,7.50767766107733,8.64660511181967,2.07253978172747e-08,7.79867112152878e-06,7.161949501368e-06,"4998/4175/580/10293/51053/10926/55388/5888/641/672/7083/92667/8318",13
"BP","GO:1901976","regulation of cell cycle checkpoint","8/201","49/18805",0.163265306122449,15.2746471723018,10.3995200146057,4.59081565898469e-08,1.51152605572071e-05,1.3881176821509e-05,"580/3619/221150/5888/9212/672/332/10403",8
"BP","GO:0045786","negative regulation of cell cycle","19/201","405/18805",0.0469135802469136,4.38910386339905,7.16676993610581,7.6756964460575e-08,2.24642049321283e-05,2.0630117465544e-05,"10459/63967/4998/5743/4751/580/51053/7957/3619/221150/5888/641/899/9088/9212/672/332/10403/8318",19
"BP","GO:0008608","attachment of spindle microtubules to kinetochore","8/201","54/18805",0.148148148148148,13.8603279896812,9.83686457644141,1.01184559326739e-07,2.33907556082474e-05,2.14810200166857e-05,"4751/1894/3619/221150/9212/332/10403/79980",8
