"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007059","chromosome segregation","21/211","431/18805",0.0487238979118329,4.34243080678682,7.47789116692949,1.86718110671388e-08,3.68455873677715e-05,3.40701282668866e-05,"11004/83540/4751/23397/699/151246/84057/157570/983/29127/9735/90417/116028/5347/55839/10615/83990/8193/81610/11065/24137",21
"BP","GO:0098813","nuclear chromosome segregation","18/211","322/18805",0.0559006211180124,4.98204350769774,7.67763816226507,2.56674241503111e-08,3.68455873677715e-05,3.40701282668866e-05,"11004/83540/4751/23397/699/84057/983/29127/9735/90417/116028/5347/10615/83990/8193/81610/11065/24137",18
"BP","GO:0000819","sister chromatid segregation","15/211","234/18805",0.0641025641025641,5.71302709928302,7.72805414487786,6.58505443040865e-08,6.30189708990108e-05,5.82719553455811e-05,"11004/83540/4751/23397/699/983/29127/9735/90417/116028/5347/10615/8193/11065/24137",15
"BP","GO:0008608","attachment of spindle microtubules to kinetochore","8/211","54/18805",0.148148148148148,13.2034404072319,9.56636359381593,1.46977400189238e-07,9.18677731026333e-05,8.49476704485292e-05,"11004/83540/4751/983/29127/9735/90417/10615",8
"BP","GO:0051988","regulation of attachment of spindle microtubules to kinetochore","6/211","23/18805",0.260869565217391,23.2495363692561,11.3734939564991,1.59992638632242e-07,9.18677731026333e-05,8.49476704485292e-05,"4751/983/29127/9735/90417/10615",6
"BP","GO:0000070","mitotic sister chromatid segregation","13/211","193/18805",0.0673575129533679,6.00311863074921,7.44222625136881,2.87350680276938e-07,0.000137497300512515,0.000127140072922533,"11004/83540/4751/23397/699/983/29127/9735/90417/5347/10615/11065/24137",13
"BP","GO:0051310","metaphase chromosome alignment","9/211","103/18805",0.087378640776699,7.78746606543045,7.35804082167902,2.39703990750589e-06,0.000983128796349915,0.000909072879207497,"11004/83540/4751/983/29127/9735/90417/10615/81610",9
"BP","GO:0000280","nuclear division","18/211","448/18805",0.0401785714285714,3.58084377115775,5.88951869082083,3.25346389821992e-06,0.0010832369316679,0.00100164019199855,"11004/83540/4751/23397/699/84057/25788/983/3481/29127/9735/90417/5888/5347/10615/83990/11065/24137",18
"BP","GO:0051983","regulation of chromosome segregation","10/211","137/18805",0.072992700729927,6.50534472619089,6.88931180902317,3.39572705852006e-06,0.0010832369316679,0.00100164019199855,"11004/83540/23397/699/983/9735/116028/5347/8193/11065",10
"BP","GO:0140014","mitotic nuclear division","14/211","282/18805",0.049645390070922,4.4245571577426,6.17238838873939,3.86306311120199e-06,0.00110908541922609,0.00102554159646857,"11004/83540/4751/23397/699/983/3481/29127/9735/90417/5347/10615/11065/24137",14
"BP","GO:0051303","establishment of chromosome localization","9/211","115/18805",0.0782608695652174,6.97486091077684,6.84623819131558,5.98113239873791e-06,0.00156107555607059,0.0014434847760399,"11004/83540/4751/983/29127/9735/90417/10615/81610",9
"BP","GO:2000042","negative regulation of double-strand break repair via homologous recombination","5/211","26/18805",0.192307692307692,17.1390812978491,8.77221339507194,9.20799317917775e-06,0.00220301236811828,0.00203706656121809,"10721/115004/55010/116028/5347",5
"BP","GO:0050000","chromosome localization","9/211","123/18805",0.0731707317073171,6.52121142064501,6.54417922916256,1.03607419149248e-05,0.00228813000290377,0.00211577255946885,"11004/83540/4751/983/29127/9735/90417/10615/81610",9
"BP","GO:0010948","negative regulation of cell cycle process","14/211","315/18805",0.0444444444444444,3.96103212216956,5.64559702646217,1.36191565381793e-05,0.002647437619265,0.00244801469349991,"83540/4751/699/580/2146/1030/983/144455/9735/5888/899/5347/83990/5988",14
"BP","GO:0048285","organelle fission","18/211","498/18805",0.036144578313253,3.22132130417404,5.35176947402475,1.38319624830982e-05,0.002647437619265,0.00244801469349991,"11004/83540/4751/23397/699/84057/25788/983/3481/29127/9735/90417/5888/5347/10615/83990/11065/24137",18
"BP","GO:0044772","mitotic cell cycle phase transition","17/211","457/18805",0.037199124726477,3.31530587905877,5.3376739857413,1.67452761940288e-05,0.00300473049706604,0.00277839385271978,"1163/128239/83540/699/580/1871/2146/1030/9833/983/144455/9735/899/5347/8193/11065/5988",17
"BP","GO:0033045","regulation of sister chromatid segregation","8/211","108/18805",0.0740740740740741,6.60172020361594,6.21909601866973,2.96296732316293e-05,0.00500392893223574,0.00462699912632625,"83540/699/983/9735/116028/5347/8193/11065",8
"BP","GO:1901988","negative regulation of cell cycle phase transition","12/211","273/18805",0.043956043956044,3.91750429665122,5.17263242226271,6.30225616992974e-05,0.00970081233334694,0.00897008146976149,"83540/699/580/2146/1030/983/144455/9735/5888/5347/83990/5988",12
"BP","GO:1901991","negative regulation of mitotic cell cycle phase transition","10/211","192/18805",0.0520833333333333,4.64183451816746,5.40309457224669,6.41990366888164e-05,0.00970081233334694,0.00897008146976149,"83540/699/580/2146/1030/983/144455/9735/5347/5988",10
"BP","GO:2000780","negative regulation of double-strand break repair","5/211","39/18805",0.128205128205128,11.426054198566,6.94298714787878,7.15873874367094e-05,0.0102763694665396,0.0095022837429148,"10721/115004/55010/116028/5347",5
"BP","GO:0045738","negative regulation of DNA repair","5/211","41/18805",0.121951219512195,10.868685701075,6.73858125532031,9.14965711451258e-05,0.0125088883694122,0.0115666342069177,"10721/115004/55010/116028/5347",5
"BP","GO:0033044","regulation of chromosome organization","11/211","244/18805",0.0450819672131148,4.01785020588921,5.054426001561,0.00010195291132991,0.0133048549285533,0.0123026431757911,"83540/4751/23397/699/983/9735/80119/116028/5347/8193/11065",11
